2016-03-26 19:23:17 status half-configured libdebconfclient0:armel 0.192
2016-03-26 19:23:17 status installed libdebconfclient0:armel 0.192
2016-03-26 19:23:17 configure libselinux1:armel 2.3-2 <none>
2016-03-26 19:23:17 status unpacked libselinux1:armel 2.3-2
2016-03-26 19:23:17 status half-configured libselinux1:armel 2.3-2
2016-03-26 19:23:18 status installed libselinux1:armel 2.3-2
2016-03-26 19:23:18 configure diffutils:armel 1:3.3-1+b1 <none>
2016-03-26 19:23:18 status unpacked diffutils:armel 1:3.3-1+b1
2016-03-26 19:23:18 status half-configured diffutils:armel 1:3.3-1+b1
2016-03-26 19:23:18 status installed diffutils:armel 1:3.3-1+b1
2016-03-26 19:23:18 configure insserv:armel 1.14.0-5 <none>
2016-03-26 19:23:18 status unpacked insserv:armel 1.14.0-5
2016-03-26 19:23:18 status half-configured insserv:armel 1.14.0-5
2016-03-26 19:23:18 status installed insserv:armel 1.14.0-5
2016-03-26 19:23:18 configure libcomerr2:armel 1.42.12-1.1 <none>
2016-03-26 19:23:18 status unpacked libcomerr2:armel 1.42.12-1.1
2016-03-26 19:23:18 status half-configured libcomerr2:armel 1.42.12-1.1
2016-03-26 19:23:18 status installed libcomerr2:armel 1.42.12-1.1
2016-03-26 19:23:18 configure findutils:armel 4.4.2-9+b1 <none>
2016-03-26 19:23:18 status unpacked findutils:armel 4.4.2-9+b1
2016-03-26 19:23:18 status half-configured findutils:armel 4.4.2-9+b1
2016-03-26 19:23:18 status installed findutils:armel 4.4.2-9+b1
2016-03-26 19:23:18 configure ethtool:armel 1:3.16-1 <none>
2016-03-26 19:23:18 status unpacked ethtool:armel 1:3.16-1
2016-03-26 19:23:18 status half-configured ethtool:armel 1:3.16-1
2016-03-26 19:23:18 status installed ethtool:armel 1:3.16-1
2016-03-26 19:23:18 configure libkeyutils1:armel 1.5.9-5+b1 <none>
2016-03-26 19:23:18 status unpacked libkeyutils1:armel 1.5.9-5+b1
2016-03-26 19:23:18 status half-configured libkeyutils1:armel 1.5.9-5+b1
2016-03-26 19:23:18 status installed libkeyutils1:armel 1.5.9-5+b1
2016-03-26 19:23:18 configure net-tools:armel 1.60-26+b1 <none>
2016-03-26 19:23:18 status unpacked net-tools:armel 1.60-26+b1
2016-03-26 19:23:18 status half-configured net-tools:armel 1.60-26+b1
2016-03-26 19:23:18 status installed net-tools:armel 1.60-26+b1
2016-03-26 19:23:18 configure libslang2:armel 2.3.0-2 <none>
2016-03-26 19:23:18 status unpacked libslang2:armel 2.3.0-2
2016-03-26 19:23:18 status half-configured libslang2:armel 2.3.0-2
2016-03-26 19:23:18 status installed libslang2:armel 2.3.0-2
2016-03-26 19:23:18 configure libusb-0.1-4:armel 2:0.1.12-25 <none>
2016-03-26 19:23:18 status unpacked libusb-0.1-4:armel 2:0.1.12-25
2016-03-26 19:23:18 status half-configured libusb-0.1-4:armel 2:0.1.12-25
2016-03-26 19:23:18 status installed libusb-0.1-4:armel 2:0.1.12-25
2016-03-26 19:23:18 configure libsepol1:armel 2.3-2 <none>
2016-03-26 19:23:18 status unpacked libsepol1:armel 2.3-2
2016-03-26 19:23:18 status half-configured libsepol1:armel 2.3-2
